anno,carburante,tipo,media,std,min,max,n
2019,Benzina,nominale,0.16827,0.01886,0.12359,0.20491,52
2019,Benzina,reale,0.16825,0.0188,0.12261,0.20289,52
2019,Diesel,nominale,0.14878,0.01834,0.11271,0.20243,52
2019,Diesel,reale,0.14873,0.01803,0.11214,0.20044,52
2020,Benzina,nominale,0.20419,0.0543,0.15887,0.35282,52
2020,Benzina,reale,0.20434,0.05354,0.15792,0.35137,52
2020,Diesel,nominale,0.19274,0.04049,0.13805,0.29667,52
2020,Diesel,reale,0.19295,0.04001,0.13761,0.29545,52
2021,Benzina,nominale,0.18162,0.02423,0.1517,0.27948,52
2021,Benzina,reale,0.17822,0.02188,0.14878,0.26873,52
2021,Diesel,nominale,0.18196,0.02612,0.12467,0.25539,52
2021,Diesel,reale,0.17863,0.02467,0.12066,0.24557,52
2022,Benzina,nominale,0.25357,0.08878,0.04231,0.43228,52
2022,Benzina,reale,0.2287,0.07872,0.03873,0.3683,52
2022,Diesel,nominale,0.2229,0.1022,-0.07399,0.41828,52
2022,Diesel,reale,0.20053,0.08999,-0.07023,0.35637,52
2023,Benzina,nominale,0.23519,0.0355,0.18333,0.35608,52
2023,Benzina,reale,0.2006,0.02973,0.15594,0.30065,52
2023,Diesel,nominale,0.21477,0.04495,0.12632,0.31835,52
2023,Diesel,reale,0.18325,0.03854,0.1087,0.27532,52
2024,Benzina,nominale,0.23273,0.02383,0.17757,0.30334,53
2024,Benzina,reale,0.19639,0.01983,0.14968,0.25444,53
2024,Diesel,nominale,0.21004,0.02898,0.13382,0.26381,53
2024,Diesel,reale,0.17728,0.02454,0.11467,0.22238,53
2025,Benzina,nominale,0.25469,0.02398,0.21114,0.31118,52
2025,Benzina,reale,0.21137,0.0199,0.17414,0.25808,52
2025,Diesel,nominale,0.22501,0.03686,0.12017,0.29593,52
2025,Diesel,reale,0.18672,0.03049,0.09911,0.24445,52
2026,Benzina,nominale,0.27363,0.05814,0.17549,0.38929,15
2026,Benzina,reale,0.22603,0.04803,0.14497,0.32158,15
2026,Diesel,nominale,0.17429,0.12718,-0.08776,0.48597,15
2026,Diesel,reale,0.14397,0.10506,-0.0725,0.40144,15
