fonte,tipo,test,descrizione,p_value,split_type,evento,carburante,BH_reject,p_BH_adj
HAC_t_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,HAC_t,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0014,shock_hard,Ucraina (Feb 2022),Benzina,True,0.0016
MannWhitney_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,MannWhitney,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Benzina,True,0.00013333333333333334
HAC_t_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,HAC_t,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0016,tau_price,Ucraina (Feb 2022),Benzina,True,0.0017066666666666667
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,MannWhitney,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,tau_price,Ucraina (Feb 2022),Benzina,True,0.0
HAC_t_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,HAC_t,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Diesel,True,0.00013333333333333334
MannWhitney_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,MannWhitney,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0,shock_hard,Ucraina (Feb 2022),Diesel,True,0.0
HAC_t_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,HAC_t,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0077,tau_price,Ucraina (Feb 2022),Diesel,True,0.0077
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,MannWhitney,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0003,tau_price,Ucraina (Feb 2022),Diesel,True,0.0003692307692307692
HAC_t_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,HAC_t,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,MannWhitney,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina,True,0.0
HAC_t_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,HAC_t,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Benzina,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,MannWhitney,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Benzina,True,0.0
HAC_t_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,HAC_t,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,MannWhitney,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel,True,0.0
HAC_t_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,HAC_t,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel,True,0.0
MannWhitney_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,MannWhitney,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel,True,0.0
