evento,shock,carburante,test,status,dettaglio
Ucraina (Feb 2022),2022-02-24,gasolio,Stazionarietà,⚠ WARN,"ADF p=0.018 (✓), KPSS p=0.010 (✗)"
Ucraina (Feb 2022),2022-02-24,gasolio,Autocorrelazione,✗ FAIL,"φ=0.193  n_eff=246/364  LB p=['0.000', '0.000', '0.000']"
Ucraina (Feb 2022),2022-02-24,gasolio,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=4.32  kurt_exc=54.96
Ucraina (Feb 2022),2022-02-24,gasolio,Omoschedasticità,✗ FAIL,Levene p=0.000  σ_pre=0.0145  σ_post=0.1816  ratio=12.55x
Ucraina (Feb 2022),2022-02-24,gasolio,Effetti ARCH,✗ FAIL,ARCH-LM p=0.001  F-stat=3.20
Ucraina (Feb 2022),2022-02-24,benzina,Stazionarietà,✗ FAIL,"ADF p=0.495 (✗), KPSS p=0.010 (✗)"
Ucraina (Feb 2022),2022-02-24,benzina,Autocorrelazione,✗ FAIL,"φ=0.125  n_eff=282/364  LB p=['0.000', '0.000', '0.000']"
Ucraina (Feb 2022),2022-02-24,benzina,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=3.29  kurt_exc=57.80
Ucraina (Feb 2022),2022-02-24,benzina,Omoschedasticità,✗ FAIL,Levene p=0.000  σ_pre=0.0119  σ_post=0.1160  ratio=9.71x
Ucraina (Feb 2022),2022-02-24,benzina,Effetti ARCH,✗ FAIL,ARCH-LM p=0.000  F-stat=6.49
Iran-Israele (Giu 2025),2025-06-13,gasolio,Stazionarietà,OK,"ADF p=0.000 (✓), KPSS p=0.093 (✓)"
Iran-Israele (Giu 2025),2025-06-13,gasolio,Autocorrelazione,✗ FAIL,"φ=0.027  n_eff=287/303  LB p=['0.351', '0.027', '0.009']"
Iran-Israele (Giu 2025),2025-06-13,gasolio,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=1.27  kurt_exc=6.93
Iran-Israele (Giu 2025),2025-06-13,gasolio,Omoschedasticità,✗ FAIL,Levene p=0.000  σ_pre=0.0147  σ_post=0.0340  ratio=2.32x
Iran-Israele (Giu 2025),2025-06-13,gasolio,Effetti ARCH,✗ FAIL,ARCH-LM p=0.000  F-stat=3.90
Iran-Israele (Giu 2025),2025-06-13,benzina,Stazionarietà,OK,"ADF p=0.003 (✓), KPSS p=0.100 (✓)"
Iran-Israele (Giu 2025),2025-06-13,benzina,Autocorrelazione,OK,"φ=0.118  n_eff=238/303  LB p=['0.067', '0.165', '0.408']"
Iran-Israele (Giu 2025),2025-06-13,benzina,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=-0.58  kurt_exc=13.48
Iran-Israele (Giu 2025),2025-06-13,benzina,Omoschedasticità,OK,Levene p=0.237  σ_pre=0.0098  σ_post=0.0152  ratio=1.55x
Iran-Israele (Giu 2025),2025-06-13,benzina,Effetti ARCH,✗ FAIL,ARCH-LM p=0.001  F-stat=3.12
Hormuz (Feb 2026),2026-02-28,gasolio,Stazionarietà,⚠ WARN,"ADF p=0.584 (✗), KPSS p=0.081 (✓)"
Hormuz (Feb 2026),2026-02-28,gasolio,Autocorrelazione,✗ FAIL,"φ=0.032  n_eff=227/243  LB p=['0.000', '0.000', '0.000']"
Hormuz (Feb 2026),2026-02-28,gasolio,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=2.83  kurt_exc=33.94
Hormuz (Feb 2026),2026-02-28,gasolio,Omoschedasticità,✗ FAIL,Levene p=0.000  σ_pre=0.0141  σ_post=0.0935  ratio=6.65x
Hormuz (Feb 2026),2026-02-28,gasolio,Effetti ARCH,✗ FAIL,ARCH-LM p=0.000  F-stat=5.43
Hormuz (Feb 2026),2026-02-28,benzina,Stazionarietà,✗ FAIL,"ADF p=0.591 (✗), KPSS p=0.010 (✗)"
Hormuz (Feb 2026),2026-02-28,benzina,Autocorrelazione,✗ FAIL,"φ=0.126  n_eff=188/243  LB p=['0.000', '0.000', '0.000']"
Hormuz (Feb 2026),2026-02-28,benzina,Normalità,✗ FAIL,SW p=0.000  JB p=0.000  skew=3.40  kurt_exc=75.54
Hormuz (Feb 2026),2026-02-28,benzina,Omoschedasticità,✗ FAIL,Levene p=0.000  σ_pre=0.0082  σ_post=0.0666  ratio=8.09x
Hormuz (Feb 2026),2026-02-28,benzina,Effetti ARCH,✗ FAIL,ARCH-LM p=0.000  F-stat=33.28
