Evento,Carburante,vol_scenario,vol_mult,windfall_MLD
Ucraina (Feb 2022),Benzina,-30%,0.7,0.1
Ucraina (Feb 2022),Benzina,base,1.0,0.142
Ucraina (Feb 2022),Benzina,+30%,1.3,0.185
Ucraina (Feb 2022),Diesel,-30%,0.7,0.116
Ucraina (Feb 2022),Diesel,base,1.0,0.166
Ucraina (Feb 2022),Diesel,+30%,1.3,0.216
Iran-Israele (Giu 2025),Benzina,-30%,0.7,0.057
Iran-Israele (Giu 2025),Benzina,base,1.0,0.081
Iran-Israele (Giu 2025),Benzina,+30%,1.3,0.105
Iran-Israele (Giu 2025),Diesel,-30%,0.7,0.061
Iran-Israele (Giu 2025),Diesel,base,1.0,0.087
Iran-Israele (Giu 2025),Diesel,+30%,1.3,0.113
